abbreviation,courseNumber,description,title,gradeAverage,letterAverage,openSeats,enrolledPercentage,enrolled,enrolledMax,units
AFRICAM,27AC,"This course explores the role of race, racism and resistance in the United States from 1492 to the present. We do this by reading autobiographical works written by racial justice activists alongside works in the theory of racial formations. Together we ask: What is race? How do we define and recognize racism? How has race shaped the lives of Americans historically classified as minorities? And how have anti-racist intellectuals represented the personal and political struggles of racialized communities living in a white majority culture? To answer these questions we focus on the intersections of race, class and gender; immigration, labor and democracy; and the history of resistance to racial oppression from abolition to liberation and back.","Race, Racism and Resistance in the United States",3.591471354166666,A-,200,0.0,0,200,3.0
AFRICAM,101,"As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods. ",Research Methods for African American Studies,3.4732718894009222,B+,50,0.0,0,50,4.0
AFRICAM,114,"
The course will provide an overview of the linguistic structure of African languages. Because the Bantu languages constitute the largest sub-group in sub-Saharan Africa, there will be much focus on the description of the major grammatical features of Bantu languages. The descriptions of African linguistic structure will be accompanied by insights into the contributions made by African languages to general linguistics. Data from various African languages will be brought in to illustrate relevant aspects of African linguistic structure. ",Introduction to African Linguistics,3.58,A-,35,0.0,0,35,3.0
AFRICAM,116,"This course will examine the origins of the African slave trade, and explore political, economic, demographic and cultural factors shaping African American life and culture prior to 1865. ",Slavery and African American Life Before 1865,2.8876953125000004,B,50,0.0,0,50,4.0
AFRICAM,118,"The course explores the role of the transatlantic slave trade in the evolution of the Atlantic world, comprising four continents: Africa, Europe, and North and South America. Although the course will deal with various aspects of the slave trade, it will emphasize cultural themes. The discovery of fresh data and the application of more sophisticated techniques have in recent years combined with a growing willingness of specialists to speak to a wider audience and to wider social implications. ",The Slave Trade and Culture in the Modern Atlantic World,3.295833333333334,B+,35,0.0,0,35,3.0
AFRICAM,152F,"This course explores African American fiction written during the 1970s and 1980s that attempt to re-present the ur-text of African American literature--and/or to represent for contemporary readers the lives of African slaves in the United States. In what ways do these authors imagine the experience and effects of slavery from their vantage point a century after emancipation, and with the Civil Rights and Black Power Movements shaping the context of their writing? ",Neo-Slave Narratives,3.5083969465648854,A-,35,0.0,0,35,3.0
AFRICAM,159,Special topics in African American literature. ,Special Topics in African American Literature,3.4941769316909297,B+,25,0.0,0,25,1-4
AFRICAM,201D,"This course is intended to provide students with an initial background for the composition of the position paper discussing the concept and study of African Diaspora necessary for passing department qualifying exams. It will introduce some of the theoretical frameworks for, and approaches to, scholarship concerning the African Diaspora. ",Theories of the African Diaspora,3.65625,A-,15,0.0,0,15,4.0
AFRICAM,240,One hour of lecture per week per unit. Topics will vary from term to term depending on student demand and faculty availability. ,Special Topics in Cultural Studies of the Diaspora,3.9018691588785046,A,25,0.0,0,25,1-4
AFRICAM,299,Individual study or research program to be worked out with sponsoring faculty before approval by department chair. Regular meetings arranged with faculty sponsor. ,Individual Study or Research,4.0,A,5,0.0,0,5,1-4
AFRICAM,C375,"The seminar provides a systemic approach to theories and practices of critical pedagogy at the university level. Examines the arts of teaching and learning and current disciplinary and cross-disciplinary issues in African/diaspora and Ethnic Studies. Participation two hours per week as practicum in 39, ""Introduction to the University: African American Perspectives"" is mandatory. The course is required for students expecting to serve as graduate student instructors in the department.",Critical Pedagogy: Instructor Training,3.84230769230769,A-,7,0.0,0,7,4
AFRICAM,602,"Individual study, in consultation with group faculty, to prepare students for the doctoral oral examinations. A student will be permitted to accumulate a maximum of 8 units toward examination preparation. Units earned in this course may not be used to meet academic residence or unit requirements for the master's or doctoral degree. ",Individual Study for Doctoral Students,-1.0,,15,0.0,0,15,2-12
AHMA,299,"Topics and instructors will vary from year to year. Special individual study for qualified graduate students. Individual study and research, including archaeological fieldwork or laboratory projects, in consultation with instructor on subject matter not covered in scheduled course offerings. ",Special Study,-1.0,,2,0.0,0,2,1-4
AMERSTD,10,"American culture and cultural change, with attention to the multicultural basis of American society and emphasis on the need for multiple methods of analysis. The course will consistently draw on the arts, material culture, and various fields affecting cultural production and meaning. Those areas include literature, film, history, architecture, history of art, religion, music, engineering, environmental studies, anthropology, politics, economics, law, and medicine. This course may include discussion sections depending on available funding. Some versions of this course need four in-class contact hours because of the extensive use of media. ",Introduction to American Studies,3.0300685602350637,B,50,0.0,0,50,4.0
AMERSTD,98,"Written proposal must be approved by sponsoring faculty. Seminars for the group study of selected topics, which will vary from year to year. Topics may be initiated by students. ",Directed Group Study,-1.0,,25,0.0,0,25,1-4
AMERSTD,101,"This course examines how U.S. cultures are constructed, reinforced, and changed, and how those cultures act simultaneously at a given time. To help students develop skills in cultural analysis, lectures will contrast various methods and perspectives as they apply to the study of a particular year or decade. Topics will vary from semester to semester. This course may include discussion sections depending on available funding. Some versions of this course need four in-class contact hours because of the extensive use of media. ",Examining U.S. Cultures in Time,3.122413793103448,B,100,0.0,0,100,4.0
AMERSTD,102,"This course examines how U.S. cultures are constructed, reinforced, and changed--particularly in reference to place and material culture. Qualitative and quantitative methods of analysis drawn from several disciplines will help students develop skills in cultural interpretation. Case studies may focus on a neighborhood, a city, or a region. Topics will vary from semester to semester. This course may include discussion sections depending on available funding. Some versions of this course need four in-class contact hours because of the extensive use of media. ",Examining U.S. Cultures in Place,3.1323129251700688,B,5,0.0,0,5,4.0
AMERSTD,110,"This course is designed primarily to allow faculty to develop focused interdisciplinary courses which address specific issues, themes, or problems in American society. Topics vary from semester to semester. Students should consult the department's webpage for current offerings before the start of the semester. ",Special Topics in American Studies,3.2051282051282057,B+,70,0.0,0,70,3-4
AMERSTD,C111E,"A course on the intellectual, cultural, historical, and social backgrounds to American literature. Topics will vary from semester to semester. Students should consult the department's ""Announcement of Classes"" for current offerings well before the start of the semester.",Topics in American Studies,3.19843137254902,B+,25,0.0,0,25,4
AMERSTD,139AC,"Beginning with the onset of World War II, America experienced not a sigular,unitary Civil Rights Movement -- as is typically portrayed in standard textbood accounts and the collective memory -- but rather a variety of contemporaneous civil rights and their related social movements. This course explores the history, presenting a top-down (political and legal history), bottom-up (social and cultural history), and comparative (by race and ethnicity as well as region) view of America's struggles for racial equality from roughly World War II until the present.",Civil Rights and Social Movements in U.S. History,2.58034188034188,B-,-1,-1.0,-1,-1,4
AMERSTD,C152,"An analysis of the written and oral tradition developed by Native Americans. Emphasis will be placed on a multifaceted approach (aesthetic, linguistic, psychological, historical, and cultural) in examining American Indian literature. ",Native American Literature,3.6462427745664736,A-,17,0.0,0,17,4.0
AMERSTD,C171,"This course surveys the history of American landscape architecture since 1850 in four realms: 1) urban open spaces--that is squares, plazas, parks, and recreation systems; 2) urban and suburban design; 3) regional and environmental planning; 4) gardens. The course will review the cultural and social contexts which have shaped and informed landscape architecture in the United States since the advent of the public parks movement, as well as, the aesthetic precepts, environmental concerns, horticultural practices, and technological innovations of American landscapes. Students will complete a midterm, final, and a research assignment.",The American Designed Landscape Since 1850,2.91383647798742,B,17,0.0,0,17,3
AMERSTD,189,"This course is designed to encourage research skills, critical thinking, and effective writing. An intensive reading and research seminar, the course will assist students in the development of skills fundamental to advanced research in the humanities, social sciences, and cultural studies. In addition to examining some topics in current American studies scholarship, students will conduct semester-long research projects. The effort entails identification of research topics, cultivation of interdisciplinary methodologies, compilation of annotated bibliographies, and completion of a literature review, which may serve as the first portion of the American studies senior thesis. The course is strongly recommended for those who have been out of touch with the conventions of academic research and writing or who might wish to pursue a graduate degree in the future. ",Research and Writing in American Studies,3.69753086419753,A-,20,0.0,0,20,1-3
AMERSTD,191,Students will meet in seminar and will be required to write individual research papers based on the general themes or issues of the seminar. The particular themes/issues will be outlined on the American Studies Course List provided each semester by the American Studies office. ,Senior Thesis Seminar,2.9580786026200876,B,20,0.0,0,20,4.0
AMERSTD,H195,This is a required course for students wishing to graduate with honors in American studies. Entails writing a bachelor's thesis pertaining to the student's individual area of concentration within the American studies major. The completed thesis will be read by the thesis supervisor and one other faculty member. ,Senior Honors Thesis Seminar,3.8417525773195873,A-,20,0.0,0,20,4.0
AMERSTD,198,Seminars for the group study of selected topics not covered by regularly scheduled courses. Topics will vary from semester to semester. Students must have completed 60 units in order to be eligible to enroll. ,Directed Group Study for Advanced Undergraduates,-1.0,,55,0.0,0,55,1-4
AMERSTD,199,Directed individual study on special topics approved by an American studies faculty member. Enrollment restrictions apply; see the Introduction to Courses and Curricula section of this catalog. ,Supervised Independent Study and Research for Upper Division Majors,-1.0,,16,0.0,0,16,1-4
AMERSTD,300,"This course will introduce graduate students to a number of techniques and theories used in teaching at the university level. In particular, it will focus on the challenges of teaching interdisciplinary American studies courses that rely on a range of materials and methodological approaches drawn from multiple disciplines and that address students who come from a variety of disciplinary backgrounds. ",Teaching Interdisciplinary American Studies,-1.0,,3,0.0,0,3,2.0
ANTHRO,2AC,"Prehistory and cultural growth. Introduction to the methods, goals, and theoretical concepts of archaeology with attention to the impact archaeology has had on the construction of the histories of diverse communities - Native Americans, Hispanics, and Euro-Americans. It fulfills the requirements for 2. ",Introduction to Archaeology,3.657226525599848,A-,374,0.0,0,374,4.0
ANTHRO,3AC,The structure and dynamics of human cultures and social institutions from a comparative perspective with special attention to American cultures and their roots. Case studies will illustrate the principles presented in the course. It fulfills the requirements for 3. ,Introduction to Social/Cultural Anthropology (American Cultures),3.581045012440625,A-,374,0.0,0,374,4.0
ANTHRO,R5B,"Reading and composition courses based on the anthropological literature. These courses provide an introduction to issues distinctive of anthropological texts and introduce students to distinctive forms of anthropological writing, such as ethnography and anthropological prehistory. Readings will be chosen from a variety of texts by authors whose works span the discipline, from bioanthropology to archaeology and sociocultural anthropology. Satisfies the second half of the Reading and Composition requirement. ",Reading and Composition in Anthropology,3.706660456450861,A-,80,0.0,0,80,4.0
ANTHRO,106,"Humans, apes, and selected monkeys are the primates of concern, and among this array patterns and degrees of social behavior vary greatly. Lectures present a general introduction to behavior and its ecological context, the interaction of biology and behavior from an evolutionary perspective, and an examination of the roots of modern human behavior.",Primate Behavior,3.3687817258883253,B+,20,0.0,0,20,4.0
ANTHRO,112,"Varying topics covering current discoveries, research, theories, fieldwork, etc., in biological anthropology. Topics vary with instructor. ",Special Topics in Biological Anthropology,3.414347450302507,B+,45,0.0,0,45,4.0
ANTHRO,121C,"Learn to work with historical artifacts from the stage of recovery through the stages of analysis and interpretation. The focus is on the analysis of materials (i.e., ceramic, glass, metal, bone, shell artifacts) recovered from historic sites. Skills acquired include how to identify, date, record, illustrate, photograph, catalog, and interpret historical archaeological materials through a combination of lectures, lab exercises, and a research paper. ",Historical Archaeology: Historical Artifact Identification and Analysis,3.805228758169935,A-,20,0.0,0,20,4.0
ANTHRO,C125A,"Prehistoric and protohistoric archaeology in China, Japan, and Korea. ",Archaeology of East Asia,3.5085271317829454,A-,25,0.0,0,25,4.0
ANTHRO,150,"Modern times have been dominated by utopian visions of how to achieve a happy future society. Artists in competing social systems played a central role in the development of these visions. But artistic experiments were filled with paradoxes, contributing to the creation not only of the most liberating and progressive ideals and values but also to the most oppressive regimes and ideologies. The course questions: what is art, what can it achieve and destroy, what is beauty, artistic freedom, and the relationship between esthetics, ethics, and power? ",Utopia: Art and Power in Modern Times,3.5755467196819084,A-,60,0.0,0,60,4.0
ANTHRO,170,Chinese culture and society with an emphasis on the village level. ,China,3.3606927710843366,B+,50,0.0,0,50,4.0
ANTHRO,179,"An introduction to the anthropological study of Maya people in Southern Mexico, Guatemala, and Belize. The course focuses on certain parts of the Maya region, emphasizing selected themes and problems. We will explore regional history through the development of Maya studies and the historical transformations of Maya societies. These themes will be traced through studies of the Classic Maya, the Spanish conquest and colonization, indigenous resistance and rebellion, and recent pan-Maya activism. ",Ethnography of the Maya,3.544615384615384,A-,45,0.0,0,45,4.0
ANTHRO,183,"The course will focus on African societies and cultures, as well as on issues relating to the history of Africanist anthropology. Images and constructs of Africa or Africans will thus be contextualized in relation to prevailing anthropological theories at different times, and in different regions of the continent. ",Topics in the Anthropological Study of Africa,3.4143712574850302,B+,22,0.0,0,22,4.0
ANTHRO,189,"Various topics covering current research theory, method; issues of social and cultural concern; culture change, conflict, and adaptation. May combine more than one subdiscipline of Anthropology. ",Special Topics in Social/Cultural Anthropology,3.643061926605504,A-,120,0.0,0,120,4.0
ANTHRO,196,"Seminar for the advanced study of the subject matter of a previously given upper division course, emphasizing reading and discussion. ",Undergraduate Seminar,3.7193490054249545,A-,131,0.0,0,131,4.0
ANTHRO,229A,"Required for all first and second year graduate students in archaeology. Three hours of seminar discussion of major issues in the history and theory of archaeological research and practice (229A), and of the research strategies and design for various kinds of archaeological problems (229B). To be offered alternate semesters. ",Archaeological Research Strategies: History of Theory in Anthropological Archaeology,3.974468085106383,A,12,0.0,0,12,4.0
ANTHRO,240A,Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anthropology. ,Fundamentals of Anthropological Theory,3.9607142857142854,A,10,0.0,0,10,5.0
ANTHRO,375,Training in both the logistics and the pedagogical issues of undergraduate teaching. ,Graduate Pedagogy Seminar,-1.0,,12,0.0,0,12,3.0
ARCH,100A,"Introductory courses in the design of buildings. Problems emphasize conceptual strategies of form and space, site relationships and social, technological and environmental determinants.   100A focuses on the conceptual design process. ",Fundamentals of Architectural Design,3.1148444863336473,B,120,0.0,0,120,6.0
ARCH,100C,"This is a studio course in architectural design. Students work on individual and group design projects that build on topics from Architecture 100B with additional integration of conditions pertinent to architectural production that may include architectural precedents, context, landscape and urban issues, envelope, performance, structure, and tectonics in the design of buildings. ",Architectural Design III,3.4767184035476717,B+,113,0.0,0,113,5.0
ARCH,129,"Topics cover advanced and research-related issues in digital design and New Media, related to architecture. For current offerings, see department website. ",Special Topics in Digital Design Theories and Methods,3.6831168831168832,A-,15,0.0,0,15,1-4
ARCH,130,"This class introduces students to the history and practice of design theory from the late 19th century to the present, with emphasis on developments of the last four decades. Readings and lectures explore specific constellations of theory and practice in relation to changing social and historical conditions. The course follows the rise of modernist design thinking, with particular emphasis on the growing influence of technical rationality across multiple fields in the post World War II period. Systematic approaches based in cybernetics and operations research (amongst others) are examined in the context of wider attempts to develop a science of design. Challenges to modernist design thinking, through advocacy planning and community-based design, the influence of social movements and countercultures, and parallel developments in postmodernism within and beyond architecture, provide the critical background for consideration of recent approaches to design theory, including those informed by developments in digital media and technology, environmental and ecological concerns, questions surrounding the globalization of architectural production, and the development of new materials. ",Introduction to Architectural Design Theory and Criticism,3.379383116883117,B+,100,0.0,0,100,4.0
ARCH,139,"Topics cover contemporary and historical issues in architectural design theory and criticism. For current offerings, see department website.",Special Topics in Architectural Design Theory and Criticism,-1.0,,15,0.0,0,15,1-4
ARCH,142,"Presentations on a variety of topics related to sustainability, offering perspectives from leading practioners: architectural designers, city planners, consultants, engineers, and researchers. Students can enroll for one unit (required attendance plus reading) or two units (with additional writing assignments. ",Sustainability Colloquium,-1.0,,100,0.0,0,100,1-2
ARCH,144,"This course focuses on what architects need to know about acoustics. The first part deals with the fundamentals of acoustics including how sound levels are described and measured, and human response to sound. The course then covers building acoustics, mechanical equipment noise and vibration control, office acoustics, design of sound amplification systems, and environmental acoustics. ",Introduction to Acoustics,-1.0,,15,0.0,0,15,1.0
ARCH,149,"Special topics include climatic design, heating, ventilating, air-conditioning systems, lighting, and acoustics. For current offerings, see department website. ",Special Topics in Energy and Environment,3.746491228070175,A-,5,0.0,0,5,1-4
ARCH,150,"Study of forces, materials, and structural significance in the design of buildings. Emphasis on understanding the structural behavior of real building systems. ",Introduction to Structures,3.1029792017987634,B,100,0.0,0,100,4.0
ARCH,169,"For current offerings, see department website. ",Special Topics in Construction Materials,3.5125,A-,15,0.0,0,15,1-4
ARCH,170A,The first part of this sequence studies the ancient and medieval periods; the second part studies the period since 1400; the aim is to look at architecture and urbanism in their social and historical context. ,An Historical Survey of Architecture and Urbanism,3.074831932773109,B,150,0.0,0,150,4.0
ARCH,179,"Special topics in Architectural History. For current section offerings, see departmental announcement. ",Special Topics in the History of Architecture,3.4926470588235294,B+,5,0.0,0,5,1-4
ARCH,200A,"Introductory course in architectural design and theories for graduate students. Problems emphasize the major format, spatial, material, tectonic, social, technological, and environmental determinants of building form. Studio work is supplemented by lectures, discussions, readings, and field trips. ",Introduction to Architecture Studio 1,-1.0,,40,0.0,0,40,5.0
ARCH,200C,This course will address three distinct levels of representational practice in architectural design: 1) cultivate an understanding of the foundational discourse and diversity of approaches to architectural representation; 2) develop a fluency in the canonical methods found in architectural practice; 3) encourage the development of a personal relationship to forms of modeling and formats of drawing. ,Representational Practice in Architectural Design,3.463112391930835,B+,40,0.0,0,40,3.0
ARCH,201,"The design of buildings or communities of advanced complexity. Each section deals with a specific topic such as housing, public and institutional buildings, and local or international community development. Studio work is supplemented by lectures, discussions, readings, and field trips. ",Architecture & Urbanism Design Studio,3.7045197740112994,A-,60,0.0,0,60,5.0
ARCH,205A,"The first semester of a one-year, post-professional design studio intended for those students who have a professional architecture degree and wish to explore current design issues in a stimulating, rigorous, and highly experimental studio setting. ","Studio One, Fall",3.8975609756097565,A,7,0.0,0,7,5.0
ARCH,207A,"This course accompanies the required introductory design studio in the three-year option of the Master of Architecture program. It is the first in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program. Students will attend all Wednesday evening lectures of the College of Environmental Design lecture series. Every third week, they will meet with the instructor for a one-hour discussion. ",Architecture Lectures Colloquium,-1.0,,45,0.0,0,45,1.0
ARCH,207B,"This course accompanies the second year of the required architecture and urbanism design studio in the three-year option of the Master of Architecture program. It is the second in a series of three one-unit colloquia, scheduled consecutively in the fall for the first three years of the program. For a one-hour session each week, faculty in the department of architecture, other departments of the College of Environmental Design, and global guest speakers will present lectures on their research and design practices in urbanism.",Architecture Research Colloquium,-1.0,,80,0.0,0,80,1.0
ARCH,207C,"This course accompanies the required comprehensive design studio in the three-year option of the Master of Architecture program. It is the third in a series of three one-unit colloquia, scheduled consecutively for the first three semesters of the program. ",Professional Practice Colloquium,-1.0,,72,0.0,0,72,1.0
ARCH,207D,"The nature of architectural practice, how it has evolved and how it is changing in today's world is the theme of the class. The course considers how diverse cultures--both anthropological and professional--contribute to practice, and how the culture of practice evolves. The class has three five-week modules, devoted to the following themes: traditions of practice, research in the culture of the profession, and innovations in practice. ",The Cultures of Practice,3.8674832962138086,A,1,0.0,0,1,3.0
ARCH,229,"Selected topics in digital design theories and methods. For current offerings, see departmental website. ",Special Topics in Digital Design Theories and Methods,3.8316614420062702,A-,30,0.0,0,30,1-4
ARCH,239,"Selected topics in contemporary and historical architectural design theory and criticsm. For current offerings, see departmental website. ",Special Topics in Architecture Design Theory and Criticism,3.765566037735849,A-,35,0.0,0,35,1-4
ARCH,241,"This class provides training in research skills and critical thinking in the field of Architecture, Building Science, Engineering with a focus on energy use, indoor environmental quality, and human well-being. Readings will cover both building science and technology theory and research methods, and classes will be organized around a series of individual and group homework. Topics will include literature review, design of experiments/simulations, physical measurements, post-occupancy evaluation, statistical analysis, data visualization, and spreading of scientific results.",Research Methods in Building Sciences,3.7941176470588234,A-,21,0.0,0,21,3.0
